#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
24300,-295610.9452962857,62353.78878841072,-233257.15650787496,310.0154249068767,0.9957489333630352
24400,-295498.6885053227,62169.106441850774,-233329.5820634719,309.0972068281668,0.9957489333630352
24500,-296048.7692879583,62155.46352886688,-233893.3057590914,309.0293759305124,0.9957489333630352
24600,-295297.74675981235,61537.039227994304,-233760.70753181804,305.9546458117328,0.9957489333630352
24700,-296181.5885712812,62369.72364783264,-233811.86492344853,310.09465108239084,0.9957489333630352
24800,-296202.43484134413,62238.01091394783,-233964.4239273963,309.43979145069295,0.9957489333630352
24900,-296068.47446938464,62131.86169816204,-233936.6127712226,308.9120305098617,0.9957489333630352
25000,-296713.18305429677,62956.575940238545,-233756.60711405822,313.0124090297893,0.9957489333630352
25100,-295329.61142642377,61959.98005987838,-233369.6313665454,308.0574559898271,0.9957489333630352
25200,-296436.3316378342,62885.958462165785,-233550.3731756684,312.66130755069764,0.9957489333630352
25300,-296063.67533412203,62281.66000977211,-233782.01532434992,309.65680942589063,0.9957489333630352
25400,-295525.9914759146,61891.94763394364,-233634.04384197097,307.71920707434936,0.9957489333630352
25500,-295757.97105714306,61891.30486384279,-233866.66619330028,307.71601129988557,0.9957489333630352
25600,-296174.3891497357,62205.8040157957,-233968.58513393998,309.27966268531117,0.9957489333630352
25700,-295570.42387115397,61435.62370260479,-234134.80016854918,305.4504202016023,0.9957489333630352
25800,-296468.57589890365,62312.818479351554,-234155.7574195521,309.8117255324146,0.9957489333630352
25900,-296237.5733448067,62000.871276089805,-234236.70206871687,308.2607621243069,0.9957489333630352
26000,-296532.6685772566,62661.75081659015,-233870.91776066646,311.5465745110364,0.9957489333630352
26100,-296549.3408149001,62568.09305846505,-233981.24775643507,311.080919572577,0.9957489333630352
26200,-296408.8033817066,62331.977054875926,-234076.82632683066,309.90697963079754,0.9957489333630352
26300,-296091.5341818547,61871.613759337255,-234219.92042251743,307.6181095324263,0.9957489333630352
26400,-296336.19168690965,62324.754546554,-234011.43714035564,309.8710702012372,0.9957489333630352
26500,-296349.2132126391,62486.64704990224,-233862.56616273685,310.6759799619745,0.9957489333630352
26600,-296333.04368483834,62599.19712294539,-233733.84656189295,311.2355651835907,0.9957489333630352
26700,-296273.21273109876,62507.71107710112,-233765.50165399764,310.78070773344115,0.9957489333630352
26800,-296009.9908326473,62054.27069067367,-233955.72014197364,308.52625749393343,0.9957489333630352
26900,-295934.266698909,61843.93110071009,-234090.3355981989,307.4804747335855,0.9957489333630352
27000,-295670.32359877136,61972.392337734986,-233697.93126103637,308.11916831988026,0.9957489333630352
27100,-296780.76739047375,62967.80786426319,-233812.95952621056,313.0682527847027,0.9957489333630352
27200,-295233.62127567735,61715.80617821356,-233517.81509746378,306.8434532620642,0.9957489333630352
27300,-295699.89447793085,62132.62802523235,-233567.2664526985,308.91584059449224,0.9957489333630352
27400,-296139.55677626096,62511.06585409655,-233628.4909221644,310.7973872750683,0.9957489333630352
27500,-295682.3637617724,62252.777911242156,-233429.58585053025,309.5132111582962,0.9957489333630352
27600,-295621.77856041957,62368.31791131501,-233253.46064910456,310.0876619320555,0.9957489333630352
27700,-296226.2344077132,63109.17681439419,-233117.05759331898,313.77112194462205,0.9957489333630352
27800,-295672.79797274154,62368.93119214673,-233303.8667805948,310.09071108947364,0.9957489333630352
27900,-295914.81848224066,62838.281591296836,-233076.53689094383,312.42426396974025,0.9957489333630352
28000,-296157.997745201,63170.973415160435,-232987.02433004056,314.0783670987114,0.9957489333630352
28100,-295831.07647827454,62828.10849212069,-233002.96798615385,312.37368456269866,0.9957489333630352
28200,-295918.1461414853,62945.34470940684,-232972.80143207847,312.95656872134657,0.9957489333630352
28300,-296230.40393533744,63325.791409307625,-232904.6125260298,314.8481032634478,0.9957489333630352
28400,-295125.965537925,62394.71300876717,-232731.25252915785,310.2188951339361,0.9957489333630352
28500,-295780.73150625173,62696.1921479617,-233084.53935829003,311.7178126055769,0.9957489333630352
28600,-295194.25900025945,62271.56919323257,-232922.68980702688,309.60663911807217,0.9957489333630352
28700,-295544.16099751275,62249.415238032176,-233294.74575948057,309.4964923576544,0.9957489333630352
28800,-295811.02955507487,62602.79994491959,-233208.22961015528,311.2534779745678,0.9957489333630352
28900,-295440.4027110385,63106.25114673248,-232334.151564306,313.75657588221105,0.9957489333630352
29000,-295072.6017791433,62590.52977001478,-232482.07200912855,311.19247216304115,0.9957489333630352
29100,-295338.5799570987,62739.81422930022,-232598.76572779848,311.93469626804966,0.9957489333630352
29200,-295616.8549700454,63329.98915109143,-232286.86581895396,314.8689739230827,0.9957489333630352
29300,-295581.3539374089,62914.99542340753,-232666.35851400136,312.8056757767875,0.9957489333630352
29400,-294977.8405859573,62562.67196048598,-232415.1686254713,311.05396653530215,0.9957489333630352
29500,-295550.1144481185,62921.31679153035,-232628.79765658814,312.8371048473006,0.9957489333630352
29600,-295801.87722410355,63114.604571895674,-232687.27265220787,313.7981080922293,0.9957489333630352
