#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
22600,-114629.18498707109,23069.758972111973,-91559.42601495911,307.91820594157116,1.018537270733841
22700,-114580.0614832755,23168.803167954786,-91411.25831532071,309.2401751537208,1.018537270733841
22800,-114618.32779354858,23080.222802543547,-91538.10499100504,308.0578694680806,1.018537270733841
22900,-114920.76921171782,23223.36556403176,-91697.40364768606,309.96843395920746,1.018537270733841
23000,-114773.41167276248,23114.05078372243,-91659.36088904005,308.50938052581716,1.018537270733841
23100,-114704.86182464415,23084.461702535977,-91620.40012210817,308.1144471931627,1.018537270733841
23200,-114717.12198750896,23198.12972883787,-91518.99225867109,309.63160455809697,1.018537270733841
23300,-114682.51882780402,23177.100801443332,-91505.41802636068,309.35092587376266,1.018537270733841
23400,-114493.4233590326,23283.03547738958,-91210.38788164302,310.76486415564085,1.018537270733841
23500,-114425.9940848822,23249.116868035286,-91176.87721684691,310.31214345955414,1.018537270733841
23600,-114394.41934576852,23325.96171792387,-91068.45762784465,311.33781209970533,1.018537270733841
23700,-114216.88230847579,23058.979669512948,-91157.90263896284,307.77433172417665,1.018537270733841
23800,-114595.22538576921,23379.614668791182,-91215.61071697803,312.0539322982087,1.018537270733841
23900,-114077.9747017842,22938.340727916337,-91139.63397386787,306.16413169963266,1.018537270733841
24000,-114226.21036241006,23159.037890608888,-91067.17247180117,309.10983540095157,1.018537270733841
24100,-114244.14396067325,23186.181378284586,-91057.96258238866,309.47212674687336,1.018537270733841
24200,-114516.59236548399,23552.15538521728,-90964.4369802667,314.3568791091408,1.018537270733841
24300,-114571.95119946136,23403.795264858752,-91168.1559346026,312.37667714217196,1.018537270733841
24400,-114558.85985615978,23253.43961865129,-91305.42023750849,310.36984036120015,1.018537270733841
24500,-113997.24926736939,22864.890300908126,-91132.35896646127,305.1837693240504,1.018537270733841
24600,-114367.38425269944,23375.381178007694,-90992.00307469175,311.9974267712763,1.018537270733841
24700,-114239.42461099767,23200.502213197295,-91038.92239780037,309.66327073755133,1.018537270733841
24800,-113986.41879730579,22730.188600801164,-91256.23019650462,303.38586992317863,1.018537270733841
24900,-114475.39440549264,23424.41261133994,-91050.9817941527,312.6518623466397,1.018537270733841
25000,-114045.0749556282,23129.215125878836,-90915.85982974936,308.7117830319175,1.018537270733841
25100,-114377.2109342984,23561.81589777826,-90815.39503652015,314.4858205384747,1.018537270733841
25200,-114485.33863961266,23582.34263334528,-90902.99600626738,314.75979633498275,1.018537270733841
25300,-114212.11174590967,23205.401711674116,-91006.71003423556,309.7286656462203,1.018537270733841
25400,-114108.30001651606,23117.69245096133,-90990.60756555473,308.5579868265676,1.018537270733841
25500,-113868.54736096953,22750.194173800177,-91118.35318716936,303.65288962434397,1.018537270733841
25600,-114333.15738719859,23182.176693425048,-91150.98069377354,309.41867515343455,1.018537270733841
25700,-114274.38290755881,23158.84852573817,-91115.53438182065,309.1073078976807,1.018537270733841
25800,-114665.40262931387,23136.25747262896,-91529.14515668491,308.80577910615204,1.018537270733841
25900,-114190.14969797095,22733.180788841797,-91456.96890912915,303.42580745241014,1.018537270733841
26000,-114415.18552203744,23182.147780910833,-91233.03774112661,309.4182892504211,1.018537270733841
26100,-114312.36183088634,23150.610019322485,-91161.75181156385,308.99734636239884,1.018537270733841
26200,-113992.76032891008,22775.898679732578,-91216.8616491775,303.99597449839433,1.018537270733841
26300,-114284.68073325686,23356.267856193474,-90928.41287706338,311.7423161838734,1.018537270733841
26400,-114033.82407665288,23209.297545068897,-90824.52653158398,309.7806643702216,1.018537270733841
26500,-113847.69260647509,22745.62657001312,-91102.06603646197,303.5919246023313,1.018537270733841
26600,-114115.66990146635,23190.26139441179,-90925.40850705456,309.52658380676814,1.018537270733841
